id,status,name,system
309235199,D,CuboCore.coreaction,aarch64-linux
309235201,D,CuboCore.coreaction,x86_64-linux
309235185,D,CuboCore.corearchiver,aarch64-linux
309235189,D,CuboCore.corearchiver,x86_64-linux
309235183,D,CuboCore.corefm,aarch64-linux
309235193,D,CuboCore.corefm,x86_64-linux
309235188,D,CuboCore.coregarage,aarch64-linux
309235192,D,CuboCore.coregarage,x86_64-linux
309235187,D,CuboCore.corehunt,aarch64-linux
309235191,D,CuboCore.corehunt,x86_64-linux
309235190,D,CuboCore.coreimage,aarch64-linux
309235196,D,CuboCore.coreimage,x86_64-linux
309235198,D,CuboCore.coreinfo,aarch64-linux
309235202,D,CuboCore.coreinfo,x86_64-linux
309235212,D,CuboCore.corekeyboard,aarch64-linux
309235210,D,CuboCore.corekeyboard,x86_64-linux
309235184,D,CuboCore.corepad,aarch64-linux
309235208,D,CuboCore.corepad,x86_64-linux
309235186,D,CuboCore.corepaint,aarch64-linux
309235205,D,CuboCore.corepaint,x86_64-linux
309235203,D,CuboCore.corepdf,aarch64-linux
309235220,D,CuboCore.corepdf,x86_64-linux
309235209,D,CuboCore.corepins,aarch64-linux
309235217,D,CuboCore.corepins,x86_64-linux
309235214,D,CuboCore.corerenamer,aarch64-linux
309235194,D,CuboCore.corerenamer,x86_64-linux
309235213,D,CuboCore.coreshot,aarch64-linux
309235195,D,CuboCore.coreshot,x86_64-linux
309235211,D,CuboCore.corestats,aarch64-linux
309235197,D,CuboCore.corestats,x86_64-linux
309235200,D,CuboCore.coreterminal,aarch64-linux
309235216,D,CuboCore.coreterminal,x86_64-linux
309235219,D,CuboCore.coretime,aarch64-linux
309235221,D,CuboCore.coretime,x86_64-linux
309235222,D,CuboCore.coretoppings,aarch64-linux
309235215,D,CuboCore.coretoppings,x86_64-linux
309235204,D,CuboCore.coreuniverse,aarch64-linux
309235218,D,CuboCore.coreuniverse,x86_64-linux
309235226,D,abiword,aarch64-linux
309235224,D,abiword,x86_64-linux
309235229,D,adapta-gtk-theme,aarch64-linux
309235230,D,adapta-gtk-theme,x86_64-linux
309235237,D,advi,aarch64-darwin
309235235,D,advi,aarch64-linux
309235238,D,advi,x86_64-darwin
309235232,D,advi,x86_64-linux
309236405,D,aider-chat-full,aarch64-linux
309236401,D,aider-chat-full,x86_64-darwin
309236390,D,aider-chat-full,x86_64-linux
309235243,D,aider-chat-with-browser,aarch64-linux
309235286,D,aider-chat-with-browser,x86_64-linux
309236402,D,aider-chat-with-help,x86_64-darwin
309235807,D,aider-chat-with-help,x86_64-linux
309235244,D,akkuPackages.TerribleTLS,aarch64-darwin
309235246,D,akkuPackages.TerribleTLS,x86_64-darwin
309235253,D,akkuPackages.aeolus,aarch64-darwin
309235256,D,akkuPackages.aeolus,x86_64-darwin
309235259,D,akkuPackages.akku-r7rs,aarch64-darwin
309235255,D,akkuPackages.akku,aarch64-darwin
309235258,D,akkuPackages.akku,x86_64-darwin
309235267,D,akkuPackages.arew-json,aarch64-darwin
309235270,D,akkuPackages.arew-json,x86_64-darwin
309235273,D,akkuPackages.arvyy-interface,aarch64-darwin
309235275,D,akkuPackages.arvyy-interface,x86_64-darwin
309235276,D,akkuPackages.arvyy-mustache,aarch64-darwin
309235279,D,akkuPackages.arvyy-mustache,x86_64-darwin
309235280,D,akkuPackages.bcaine-defstruct,aarch64-darwin
309235282,D,akkuPackages.bcaine-defstruct,x86_64-darwin
309235283,D,akkuPackages.bcaine-format,aarch64-darwin
309235287,D,akkuPackages.bcaine-format,x86_64-darwin
309235404,D,akkuPackages.bcaine-misc-util,aarch64-darwin
309235300,D,akkuPackages.bcaine-misc-util,x86_64-darwin
309235294,D,akkuPackages.bcaine-obj,aarch64-darwin
309235290,D,akkuPackages.bcaine-obj,x86_64-darwin
309235292,D,akkuPackages.bcaine-sld-stub-expand,aarch64-darwin
309235295,D,akkuPackages.bcaine-sld-stub-expand,x86_64-darwin
309235298,D,akkuPackages.chez-cmark,aarch64-darwin
309235303,D,akkuPackages.chez-cmark,x86_64-darwin
309235304,D,akkuPackages.chez-csv,aarch64-darwin
309235306,D,akkuPackages.chez-csv,x86_64-darwin
309235391,D,akkuPackages.chez-docs,aarch64-darwin
309235351,D,akkuPackages.chez-docs,x86_64-darwin
309235312,D,akkuPackages.chez-matrices,aarch64-darwin
309235314,D,akkuPackages.chez-matrices,x86_64-darwin
309235316,D,akkuPackages.chez-mit,aarch64-darwin
309235318,D,akkuPackages.chez-mit,x86_64-darwin
309235320,D,akkuPackages.chez-scmutils,aarch64-darwin
309235322,D,akkuPackages.chez-scmutils,x86_64-darwin
309235328,F,akkuPackages.chez-srfi,aarch64-darwin
309235330,F,akkuPackages.chez-srfi,x86_64-darwin
309235332,D,akkuPackages.chibi-app,aarch64-darwin
309235334,D,akkuPackages.chibi-app,x86_64-darwin
309235335,D,akkuPackages.chibi-assert,aarch64-darwin
309235338,D,akkuPackages.chibi-assert,x86_64-darwin
309235340,D,akkuPackages.chibi-base64,aarch64-darwin
309235342,D,akkuPackages.chibi-base64,x86_64-darwin
309235343,D,akkuPackages.chibi-binary-record,aarch64-darwin
309235346,D,akkuPackages.chibi-binary-record,x86_64-darwin
309235349,D,akkuPackages.chibi-bytevector,aarch64-darwin
309235353,D,akkuPackages.chibi-bytevector,x86_64-darwin
309235354,D,akkuPackages.chibi-char-set,aarch64-darwin
309235358,D,akkuPackages.chibi-char-set,x86_64-darwin
309235362,D,akkuPackages.chibi-config,aarch64-darwin
309235364,D,akkuPackages.chibi-config,x86_64-darwin
309235368,D,akkuPackages.chibi-crypto-md5,aarch64-darwin
309235369,D,akkuPackages.chibi-crypto-md5,x86_64-darwin
309235371,D,akkuPackages.chibi-crypto-rsa,aarch64-darwin
309235372,D,akkuPackages.chibi-crypto-rsa,x86_64-darwin
309235375,D,akkuPackages.chibi-crypto-sha2,aarch64-darwin
309235379,D,akkuPackages.chibi-crypto-sha2,x86_64-darwin
309235378,D,akkuPackages.chibi-diff,aarch64-darwin
309235382,D,akkuPackages.chibi-diff,x86_64-darwin
309235383,D,akkuPackages.chibi-edit-distance,aarch64-darwin
309235385,D,akkuPackages.chibi-edit-distance,x86_64-darwin
309235387,D,akkuPackages.chibi-filesystem,aarch64-darwin
309235389,D,akkuPackages.chibi-filesystem,x86_64-darwin
309235390,D,akkuPackages.chibi-html-parser,aarch64-darwin
309235428,D,akkuPackages.chibi-html-parser,x86_64-darwin
309235394,D,akkuPackages.chibi-irregex,aarch64-darwin
309235397,D,akkuPackages.chibi-irregex,x86_64-darwin
309235398,D,akkuPackages.chibi-iset,aarch64-darwin
309235400,D,akkuPackages.chibi-iset,x86_64-darwin
309235403,D,akkuPackages.chibi-locale,aarch64-darwin
309235405,D,akkuPackages.chibi-locale,x86_64-darwin
309235406,D,akkuPackages.chibi-match,aarch64-darwin
309235408,D,akkuPackages.chibi-match,x86_64-darwin
309235414,D,akkuPackages.chibi-math-prime,aarch64-darwin
309235412,D,akkuPackages.chibi-math-prime,x86_64-darwin
309235415,D,akkuPackages.chibi-math-stats,aarch64-darwin
309235417,D,akkuPackages.chibi-math-stats,x86_64-darwin
309235419,D,akkuPackages.chibi-mime,aarch64-darwin
309235421,D,akkuPackages.chibi-mime,x86_64-darwin
309235422,D,akkuPackages.chibi-monad-environment,aarch64-darwin
309235424,D,akkuPackages.chibi-monad-environment,x86_64-darwin
309235426,D,akkuPackages.chibi-net-dns,aarch64-darwin
309235430,D,akkuPackages.chibi-net-dns,x86_64-darwin
309235431,D,akkuPackages.chibi-net-smtp,aarch64-darwin
309235432,D,akkuPackages.chibi-net-smtp,x86_64-darwin
309235434,D,akkuPackages.chibi-optional,aarch64-darwin
309235436,D,akkuPackages.chibi-optional,x86_64-darwin
309235442,D,akkuPackages.chibi-parse,aarch64-darwin
309235443,D,akkuPackages.chibi-parse,x86_64-darwin
309235439,D,akkuPackages.chibi-pathname,aarch64-darwin
309235445,D,akkuPackages.chibi-pathname,x86_64-darwin
309235447,D,akkuPackages.chibi-quoted-printable,aarch64-darwin
309235448,D,akkuPackages.chibi-quoted-printable,x86_64-darwin
309235455,D,akkuPackages.chibi-regexp,aarch64-darwin
309235522,D,akkuPackages.chibi-regexp,x86_64-darwin
309235454,D,akkuPackages.chibi-scribble,aarch64-darwin
309235457,D,akkuPackages.chibi-scribble,x86_64-darwin
309235459,D,akkuPackages.chibi-show,aarch64-darwin
