id,name,system
308951835,CuboCore.libcprime,aarch64-linux
308951836,CuboCore.libcprime,x86_64-linux
308951878,QuadProgpp,aarch64-darwin
308951857,QuadProgpp,aarch64-linux
308951881,QuadProgpp,x86_64-darwin
308951858,QuadProgpp,x86_64-linux
308951904,SDL_audiolib,aarch64-darwin
308951924,SDL_audiolib,x86_64-darwin
308951979,_3cpio,aarch64-darwin
308951984,_3cpio,x86_64-darwin
308952184,ac-library,aarch64-darwin
308952185,ac-library,aarch64-linux
308952186,ac-library,x86_64-darwin
308952225,acl2-minimal,aarch64-linux
308952520,aeron-cpp,aarch64-darwin
308952525,aeron-cpp,x86_64-darwin
309235328,akkuPackages.chez-srfi,aarch64-darwin
309235330,akkuPackages.chez-srfi,x86_64-darwin
309236315,akkuPackages.ufo-timer,aarch64-linux
309236312,akkuPackages.ufo-timer,x86_64-linux
309236333,akkuPackages.wak-htmlprag,aarch64-linux
309236384,akkuPackages.xyz-modem,aarch64-linux
309236382,akkuPackages.xyz-modem,x86_64-linux
308954155,alice-tools-qt6,aarch64-darwin
308954157,alice-tools-qt6,x86_64-darwin
308954324,alure,aarch64-linux
308954325,alure,x86_64-linux
308954326,alure2,aarch64-linux
308954327,alure2,x86_64-linux
308954411,amiberry,aarch64-linux
308954412,amiberry,x86_64-linux
310077265,amule-daemon,aarch64-linux
310077267,amule-daemon,x86_64-linux
310077270,amule-gui,aarch64-linux
310077277,amule-gui,x86_64-linux
310077269,amule-web,aarch64-linux
310077272,amule-web,x86_64-linux
310077276,amule,aarch64-linux
310077266,amule,x86_64-linux
308954557,angelscript,x86_64-darwin
308954791,antimony,aarch64-linux
308954817,antimony,x86_64-linux
308954990,apacheHttpdPackages.mod_python,aarch64-linux
308954992,apacheHttpdPackages.mod_python,x86_64-linux
310106977,apacheHttpdPackages.mod_tile,aarch64-linux
310106974,apacheHttpdPackages.mod_tile,x86_64-linux
308955075,apacheHttpdPackages_2_4.mod_python,aarch64-linux
308955076,apacheHttpdPackages_2_4.mod_python,x86_64-linux
310106976,apacheHttpdPackages_2_4.mod_tile,aarch64-linux
310106975,apacheHttpdPackages_2_4.mod_tile,x86_64-linux
308955160,apfs-fuse,aarch64-darwin
308955161,apfs-fuse,aarch64-linux
308955167,apfs-fuse,x86_64-darwin
308955162,apfs-fuse,x86_64-linux
308955165,apftool-rs,aarch64-linux
310077289,apvlv,aarch64-linux
310077282,apvlv,x86_64-linux
308955408,aranym,aarch64-darwin
308955409,aranym,aarch64-linux
308955411,aranym,x86_64-darwin
308955427,arc_unpacker,aarch64-linux
308955429,arc_unpacker,x86_64-darwin
308955428,arc_unpacker,x86_64-linux
308955463,arcan,aarch64-linux
308955437,arcan,x86_64-linux
308955490,arduino-create-agent,aarch64-darwin
308955492,arduino-create-agent,aarch64-linux
308955494,arduino-create-agent,x86_64-darwin
308955495,arduino-create-agent,x86_64-linux
308955519,argagg,aarch64-linux
308955521,argagg,x86_64-darwin
308955522,argagg,x86_64-linux
308955580,arguments,aarch64-darwin
308955579,arguments,aarch64-linux
308955582,arguments,x86_64-darwin
308955583,arguments,x86_64-linux
308955978,armTrustedFirmwareTools,aarch64-darwin
