name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
ac-library,,324441601,,
amiberry,324443912,324443911,,
apacheHttpdPackages.mod_tile,324444580,324444573,,
apacheHttpdPackages_2_4.mod_tile,324444586,324444624,,
apngasm,324444738,324444739,,
applgrid,,324444813,,
arrow-cpp,,,324445298,
ath9k-htc-blobless-firmware-unstable,,324446060,,
ath9k-htc-blobless-firmware,,324446061,,
av1an-unwrapped,324446488,,,
avy,,324446566,,
azure-cli-extensions.aksarc,,324446881,,
azure-cli-extensions.alias,324446896,324446894,,
azure-cli-extensions.aosm,324446913,324446910,,
azure-cli-extensions.arcappliance,324447002,,,
azure-cli-extensions.connectedk8s,,324447033,,
azure-cli-extensions.containerapp,324447045,,,
azure-cli-extensions.k8s-configuration,324447253,324447254,,
azure-cli-extensions.serial-console,,324447462,,
azure-cli-extensions.webpubsub,,324447580,,
azure-sdk-for-cpp.security-attestation,324447657,,,
balatro-mod-manager,,324447864,,
barrage,,324447955,,
beanstalkd,,324449003,,
bencode,324449108,,,
bibtool,324449304,,,
bigloo,324449335,,,
birdfont,324449496,,,
blockstream-electrs,324449850,,,
bodyclose,,324449967,,
bombono,324450039,,,
brickstore,324450414,,,
build2-bootstrap,,,324450741,324450738
cadabra2,324451216,,,
caffe,,324451262,,
cairo-lang,324451280,324451279,,
caprice32,,324451484,,
cardpeek,,324451542,,
cargo-raze,324451931,,,
catboost,324452220,,,
cbconvert,,324452356,,
cbmbasic,324452376,,,
cdb,,324452509,,
cernlib,324452694,324452690,,
chickenPackages_5.chickenEggs.fuse,,324453808,,
chickenPackages_5.chickenEggs.isaac,,324454027,,
chickenPackages_5.chickenEggs.mdh,,324454312,,
chickenPackages_5.chickenEggs.xlib,,324455526,,
chiptrack,,324453214,,
ciao,,324455697,,
clboss,,324456027,,
clean,324456046,,,
clipit,,324456186,,
coan,324456597,,,
colobot,324457026,,,
comaps,324457110,,,
compactor,324457248,324457249,,
connectome-workbench,,324457387,,
coredns,,,324458100,324458099
darwin.sigtool,,324459737,,
dataexplorer,324459798,,,
dc3dd,324460004,324460003,,
debase,324460172,,,
defuddle-cli,324460270,324460267,,
denemo,,324460385,,
dictu,324460797,,,
dillo-plus,324460917,,,
disk_indicator,,324461067,,
djgpp_i686,324461214,324461212,,
djmount,324461222,,,
dmd,324461302,,,
dosbox,,,324461896,324461900
