id,name,system
342975135,ac-library,aarch64-darwin
342975232,actual-server,aarch64-darwin
342975240,aerion,aarch64-darwin
342802877,aerogramme,aarch64-linux
342803702,alan_2,aarch64-linux
342975634,alembic,aarch64-darwin
342975648,alibuild,aarch64-darwin
342803766,alibuild,aarch64-linux
342804440,apm-cli,aarch64-linux
342975968,archivemount,aarch64-darwin
342805237,ath9k-htc-blobless-firmware-unstable,aarch64-linux
342805238,ath9k-htc-blobless-firmware,aarch64-linux
342976238,atmos,aarch64-darwin
343112277,auto-editor,aarch64-linux
342805655,ax25-tools,aarch64-linux
342976426,azure-cli-extensions.acrcssc,aarch64-darwin
342805709,azure-cli-extensions.acrcssc,aarch64-linux
343114443,azure-cli-extensions.aksarc,aarch64-linux
342976440,azure-cli-extensions.alias,aarch64-darwin
342805731,azure-cli-extensions.alias,aarch64-linux
342976465,azure-cli-extensions.aosm,aarch64-darwin
342805738,azure-cli-extensions.aosm,aarch64-linux
343114459,azure-cli-extensions.arcappliance,aarch64-linux
343114447,azure-cli-extensions.arcdata,aarch64-linux
342976456,azure-cli-extensions.attestation,aarch64-darwin
342805759,azure-cli-extensions.attestation,aarch64-linux
342805791,azure-cli-extensions.cloud-service,aarch64-linux
343114448,azure-cli-extensions.connectedk8s,aarch64-linux
343114450,azure-cli-extensions.containerapp,aarch64-linux
342976544,azure-cli-extensions.k8s-configuration,aarch64-darwin
342805926,azure-cli-extensions.k8s-configuration,aarch64-linux
343114464,azure-cli-extensions.k8s-extension,aarch64-linux
342976581,azure-cli-extensions.redisenterprise,aarch64-darwin
342806014,azure-cli-extensions.redisenterprise,aarch64-linux
342976596,azure-cli-extensions.serial-console,aarch64-darwin
342806037,azure-cli-extensions.serial-console,aarch64-linux
342976600,azure-cli-extensions.stack-hci-vm,aarch64-darwin
342806047,azure-cli-extensions.stack-hci-vm,aarch64-linux
342976616,azure-cli-extensions.webpubsub,aarch64-darwin
342806093,azure-cli-extensions.webpubsub,aarch64-linux
342806136,azure-sdk-for-cpp.security-attestation,aarch64-linux
342806518,beadwork,aarch64-linux
342806859,beanhub-cli,aarch64-linux
342977093,biglybt,aarch64-darwin
342977321,bootil,aarch64-darwin
342977330,boulder,aarch64-darwin
343093622,brlcad,aarch64-linux
342977390,brutus,aarch64-darwin
342807871,btrsync,aarch64-linux
342977438,bugdom,aarch64-darwin
342808038,bumblebee-status,aarch64-linux
342808194,cadabra2,aarch64-linux
342977623,candle,aarch64-darwin
342977690,cargo-deb,aarch64-darwin
342977748,cargo-risczero,aarch64-darwin
342977781,cargo-ui,aarch64-darwin
343093632,casacore,aarch64-darwin
342808882,cbconvert-gui,aarch64-linux
342808881,cbconvert,aarch64-linux
342977849,cbmbasic,aarch64-darwin
342977896,cdecl,aarch64-darwin
342977922,cegui,aarch64-darwin
342809038,celeste,aarch64-linux
343080291,celf,aarch64-linux
342977979,cfv,aarch64-darwin
342978216,chickenPackages_5.chickenEggs.fusion-arrays,aarch64-darwin
342978302,chickenPackages_5.chickenEggs.hypergiant,aarch64-darwin
342978344,chickenPackages_5.chickenEggs.libyaml,aarch64-darwin
342809816,chickenPackages_5.chickenEggs.libyaml,aarch64-linux
342978696,chipsec,aarch64-darwin
342810587,chipsec,aarch64-linux
342978790,clevercsv,aarch64-darwin
342810892,clevercsv,aarch64-linux
342978796,clfft,aarch64-darwin
343107107,cloudcompare,aarch64-linux
342978974,cocom-tool-set,aarch64-darwin
342811448,colmap,aarch64-linux
343080388,compare50,aarch64-linux
342979301,convos,aarch64-darwin
342811822,convos,aarch64-linux
342979231,coqPackages.dpdgraph,aarch64-darwin
342812059,coq_8_7,aarch64-linux
342812062,coq_8_8,aarch64-linux
342812069,coq_8_9,aarch64-linux
342979329,cortex-tools,aarch64-darwin
342812139,cortex-tools,aarch64-linux
343080422,cot,aarch64-linux
342979348,cp437,aarch64-darwin
342979381,cpond,aarch64-darwin
342979358,cpp-interop,aarch64-darwin
342812332,cppclean,aarch64-linux
342812434,creek,aarch64-linux
342812747,cuneiform,aarch64-linux
342979555,cups-dymo,aarch64-darwin
342979612,cyanrip,aarch64-darwin
342812880,cyanrip,aarch64-linux
342979632,cyberstrike,aarch64-darwin
342812887,cyberstrike,aarch64-linux
342812958,daikhan,aarch64-linux
342813072,dart_frog_cli,aarch64-linux
342979719,dasher,aarch64-darwin
342979763,db-rest,aarch64-darwin
342979808,deadpixi-sam-unstable,aarch64-darwin
343114537,deeptools,aarch64-linux
342979843,delly,aarch64-darwin
342979878,deskew,aarch64-darwin
342979929,dgop,aarch64-darwin
342979944,diamond,aarch64-darwin
342979950,dico,aarch64-darwin
342979994,dino,aarch64-darwin
342813849,diskbloom,aarch64-linux
342980075,dl-librescore,aarch64-darwin
342980083,dleyna,aarch64-darwin
342980088,dnadd,aarch64-darwin
342814044,dnf5,aarch64-linux
342980107,dnslink-std-go,aarch64-darwin
342980161,dockapps.wmsm-app,aarch64-darwin
342980596,dotnetCorePackages.sdk_11_0-bin,aarch64-linux
342980602,dotnetCorePackages.sdk_11_0_1xx-bin,aarch64-linux
342980696,dovecot_pigeonhole,aarch64-darwin
342980697,dovecot_pigeonhole_2_4,aarch64-darwin
342980748,driftnet,aarch64-darwin
342980789,dt,aarch64-darwin
342815119,dwarfs,aarch64-linux
342815173,dyndnsc,aarch64-linux
342815262,ecapture,aarch64-linux
342980974,eggnog-mapper,aarch64-darwin
342980969,egoboo,aarch64-darwin
343080649,elm-land,aarch64-linux
343080657,elmPackages.elm-analyse,aarch64-linux
343080655,elmPackages.elm-doc-preview,aarch64-linux
343080652,elmPackages.elm-graphql,aarch64-linux
343080651,elmPackages.elm-verify-examples,aarch64-linux
343080650,elmPackages.elm-xref,aarch64-linux
342815797,emborg,aarch64-linux
342981135,emmy-lua-code-style,aarch64-darwin
342815810,empserver,aarch64-linux
342815846,enca,aarch64-linux
342981222,epgstation,aarch64-darwin
342981235,equalx,aarch64-darwin
342981271,ete-unwrapped,aarch64-darwin
342816127,ete-unwrapped,aarch64-linux
342981305,excalidraw_export,aarch64-darwin
