name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
_86box,,,,328967402
ac-library,,,,329134020
acl2-minimal,,328383045,,
age-plugin-fido2prf,,,328715763,328715764
aider-chat-with-bedrock,329224768,329224764,,329224765
aider-chat-with-browser,329224769,329224766,,329224770
aider-chat-with-playwright,329224776,329224771,,329224777
aider-chat,329224763,329224762,,329224767
akkoma-admin-fe,,,329081845,329081856
alan_2,328384945,328384939,,
alembic,,,328384984,328384977
angelscript,,,328385482,
aonsoku,,,329215876,
apacheHttpdPackages.mod_tile,329224791,329224789,,
apacheHttpdPackages_2_4.mod_tile,329224792,329224790,,
applgrid,,328837380,,
appstream,,,328386269,328386267
ariang,329215902,329215903,329215899,329215901
armTrustedFirmwareTools,,,328386629,328386621
armitage,,,,328983001
ath9k-htc-blobless-firmware-unstable,328387517,328387556,,
ath9k-htc-blobless-firmware,328387513,328387511,,
atlauncher,,328983025,,
aviator,,,328716912,
aw-notify,,,329134354,329134353
awesome,329215956,329215948,,
aws-sam-cli,329241497,329241503,,329241499
azahar,,,,329082020
azure-cli-extensions.acrcssc,329134433,329134431,329134432,329134434
azure-cli-extensions.aksarc,329134439,329134437,329134438,329134435
azure-cli-extensions.alias,328388347,328388348,328388356,328388344
azure-cli-extensions.aosm,329134440,329134443,329134445,329134444
azure-cli-extensions.arcappliance,329134447,329134441,329134446,329134442
azure-cli-extensions.arcdata,329134452,329134472,329134453,329134471
azure-cli-extensions.attestation,329134451,329134449,329134450,329134448
azure-cli-extensions.cloud-service,329134459,329134455,329134457,329134454
azure-cli-extensions.connectedk8s,329134464,329134460,329134467,329134465
azure-cli-extensions.containerapp,329134478,329134461,329134463,329134466
azure-cli-extensions.interactive,328388701,328388699,328388700,328388712
azure-cli-extensions.k8s-configuration,328388722,328388711,328388717,328388718
azure-cli-extensions.k8s-extension,329134468,329134470,329134469,329134473
azure-cli-extensions.serial-console,328388922,328388923,328388931,328388921
azure-cli-extensions.stack-hci-vm,328388949,328388943,328388953,328388942
azure-cli-extensions.webpubsub,329134490,329134491,328389036,328389039
azure-sdk-for-cpp.security-attestation,328389114,328389128,,
bacula,,,328967683,
badkeys,329134527,329134529,,329134528
ballerburg,,,329215976,329215970
beam29Packages.rebar3,328946374,328946373,328946372,328946371
beamMinimal29Packages.rebar3,328946469,328946467,328946468,328946466
beamerpresenter-mupdf,,,,329216008
beamerpresenter,,,,329216000
beszel,,,329082198,329082200
biglybt,,,,328983130
bitwarden-cli,,,328946543,
bodyclose,328717807,328717813,328717827,328717804
bootil,,,328391411,328391400
boulder,,,328717898,328717899
buildah-unwrapped,,,328718073,
c3c,,,328906510,
candle,,,328967919,328967913
cardpeek,,,328392818,328392832
cargo-deb,,,328392970,328392963
cargo-risczero,,,328393209,328393245
cargo-ui,,,328906617,328906607
casacore,,,329225002,329224998
cassandra-cpp-driver,,,328393425,
castero,329134878,,,
cbconvert-gui,328838962,328838926,,
cbconvert,328838929,328838918,,
cbmbasic,,,328393666,328393676
cdecl,,,328393806,328393805
cdparanoia-iii,,,328393890,328393907
cdparanoia,,,328393889,328393906
cdxgen,,,329082388,
cegui,,,328393928,328393901
cernlib,,,328393973,
cfspeedtest,,,328394158,328394100
cfv,,,328394107,328394109
cgns,,,328394146,328394144
cherry-studio,,,329216192,
chopchop,,,328718899,
clfft,,,328397385,328397384
cliamp,,,329135066,329135033
cockpit-zfs,329241580,329241581,,
cocom-tool-set,,,328398099,328398100
code-server,,,329082547,
colmap,,329135084,,329135086
compactor,328839459,328839461,,
conan,,,,329225043
conserve,,,328398737,
contour,,,328968131,328968133
coredns,,,329135169,329135168
corkscrew,,,328399479,328399470
cp437,,,328399716,328399695
cpufetch,,,328399825,
csmith,,,328400294,328400273
css-variables-language-server,,,329082681,329082680
cuneiform,329216301,329216303,,
cups-dymo,,,328400532,328400522
daikhan,,328947239,,
dart_frog_cli,329135297,329135279,,
darwin.PowerManagement,,,328401059,328401009
dasher,,,328401143,328401121
dasm,,,328401144,
dateutils,,,328401187,328401185
db-rest,,,329082734,329082745
deadpixi-sam-unstable,,,328401516,328401515
debase,,,328907052,328907047
decker,,,328401562,328401559
deluged,,,329135368,329135361
deskew,,,,328401801
devcontainer,,,329082774,
diamond,,,328402102,328402100
dico,,,328947347,328947343
diffoscope,,,,329225123
digital,,,328983446,
directx-shader-compiler,,,328402359,328402352
direvent,,,328402370,328402368
direwolf-unstable,,,328402380,328402365
direwolf,,,328402369,328402361
djgpp,328402608,328402571,328402567,328402575
djgpp_i586,328402609,328402572,328402568,328402574
djgpp_i686,328402599,328402580,328402570,328402569
dl-librescore,,,,328947380
dleyna,,,328402631,328402647
dmd,328402674,,,
dnadd,,,328402717,328402711
dnsight,329135448,329135447,329135449,329135446
dnslink-std-go,,,328720955,328720963
dockapps.wmsm-app,,,328402960,328402955
docker-machine-hyperkit,,,328721050,
documenso,329216406,329216409,,
dovecot_pigeonhole,,,328968395,328968400
dovecot_pigeonhole_2_4,,,328968396,328968401
driftnet,,,328404117,328404120
dt,,,328404245,328404255
ecl_16_1_2,328404828,328404832,328404835,
eggnog-mapper,,,328405162,328405143
egoboo,,,329135568,329135565
ela-widget-tools,,,328968473,328968466
element-call,,,,329082998
emilua,,328841259,,
emiluaPlugins.emilua,,328841260,,
emmy-lua-code-style,328405693,328405698,,
engage,,,328405843,
envoluntary,,,328405979,328405966
epgstation,,,329083066,329083068
equalx,,,328968525,328968536
ete-unwrapped,,328947726,,328406278
etlegacy-unwrapped,,,328406322,328406313
evcc,,,329083093,
eventstore,,,328406687,
exatorrent,,,329083119,329083117
excalidraw_export,328841522,328841542,329083113,329083110
expliot,329135668,329135669,,
fauna-shell,328722530,328722548,329083137,329083145
fbv,,,328407182,328407185
fcron,,,328407287,328407290
fedimint,328407348,328407339,,
ffmpeg_4-full,,,,328983691
ffmpeg_4,,,,328407562
filen-desktop,,,329216659,329216656
firefox-esr-140-unwrapped,,,329216684,329216682
firefox-esr-unwrapped,,,329216685,329216674
fishPlugins.pure,,,,328723001
fleng,,,,328408411
flex-launcher,,,328408440,328408424
flow-control,,,328408521,328408554
fluent-bit,,,,329135861
fluidd,,,329083253,
fmi-reference-fmus,,,328408751,
fmt_10,,,328408776,328408799
fmt_9,,,328408775,328408786
folly,,,328408826,328408822
foonathan-memory,,,328409028,328409038
ford,,,328409047,328409043
fortitude,,,328409116,328409107
fotema,329135899,328948005,,
freepv,,,328409369,328409361
fwts,328409794,328409792,,
g15daemon,,,328409859,328409850
gama,,,329135985,329135984
gaphor,329135998,329135997,,
garble,,328842544,,
gaw,328842569,328842587,,
gbdfed,,,328410272,328410263
gccNGPackages_15.gcc-unwrapped,,,328410349,328410345
gccNGPackages_15.libquadmath,328410400,,,
getxbook,,,328410949,328410969
ggz_base_libs,328411045,328411041,,
ghidra-extensions.gnudisassembler,,328983882,,329216836
ghostfolio,,,329083338,329083337
giac,,,,329225254
gimme-aws-creds,329136141,329136139,329136142,329136140
git-chain,,,328411640,328411629
git-codereview,,,328908234,
git-gamble,,,328411743,328411742
git-run,328411953,328411952,329083365,329083368
git-spice,,,328724404,
git-together,,,328412001,328412035
git-town,,,329136191,
gitbeaker-cli,,328724457,329083381,
gitlab-elasticsearch-indexer,,,328724549,328724545
gittuf,,,328724608,
glances,,329136235,,
globus-cli,329136245,329136243,329136244,329136242
gmic,,,329083408,329083409
gnat15Packages.gnatprove,,328412986,,
gnat16Packages.gprbuild-boot,329216974,329216971,,
gnome2.gtksourceview,,,328413240,328413238
gnucobol,,,329225305,329225301
gnudatalanguage,,329137675,,
gnuradioPackages.fosphor,329137681,329137677,,
gophernotes,328725839,328725841,328725832,328725831
gophish,,,328725853,
gossip,328948558,328948561,328416970,328416938
goxlr-utility,,,328417084,328417094
gpt4all,328969080,328969089,,
gradm,,328843833,,
grafana,,,329083501,
grafx2,,,329137771,329137772
greenbone-feed-sync,,,329137797,329137796
gridtracker2,,,,329217110
groestlcoind,328843938,328843939,328417914,328417903
gromacsPlumed,328417934,328417933,,
gtk-frdp,,,329225332,329225329
gtkgnutella,328844099,328844082,,
guile-git,,,,328908546
halide,328418909,,,
handlr-regex,,,328418979,328418954
hash_extender,,,328419065,328419069
hashcash,,,328419075,328419066
haskellPackages.AppleScript,,,328419340,328419336
haskellPackages.GOST34112012-Hash,,328419729,,328419698
haskellPackages.HsHTSLib,,,328419948,328419965
haskellPackages.aoc,,,328422691,328422661
haskellPackages.botan-low,,329217150,329217155,
haskellPackages.bytestring-encoding,,,328424314,328424310
haskellPackages.copilot-c99,,,328425884,328425893
haskellPackages.cpython,,328726923,,
haskellPackages.diagrams-pandoc,,328844478,,
haskellPackages.epub-metadata,,,328428095,328428140
haskellPackages.error-codes,,,328428163,328428130
haskellPackages.eventlog-live-otelcol,328428344,328726934,328428366,328726933
haskellPackages.executable-hash,,,,328428326
haskellPackages.exinst-base,,,328428331,328428351
haskellPackages.fold-debounce-conduit,,,,328428915
haskellPackages.freetype2,,328429089,328429091,328429088
haskellPackages.genvalidity-dirforest,,,328429686,328429629
haskellPackages.gi-gdkx113,,,328430061,328430090
haskellPackages.gi-gdkx114,,,328726972,328726971
haskellPackages.gi-gtkosxapplication,,,328727004,328727018
haskellPackages.gi-soup3,,,328430182,328430184
haskellPackages.grisette,,,328984115,
haskellPackages.gtk-mac-integration,,,328431386,328431380
