id,status,name,system
58473711,F,AgdaStdlib,x86_64-darwin
58471598,F,AgdaStdlib,x86_64-linux
58472547,D,Fabric,aarch64-linux
58483771,D,PPSSPP,aarch64-linux
58485441,D,PPSSPP,x86_64-darwin
58496985,F,_915resolution,aarch64-linux
58478035,F,a2jmidid,aarch64-linux
58492092,D,acl2,aarch64-linux
58474817,D,acoustidFingerprinter,aarch64-linux
58490094,F,aegisub,aarch64-linux
58491096,F,afl,x86_64-linux
58497119,F,agdaPrelude,x86_64-darwin
58473480,F,agdaPrelude,x86_64-linux
58500378,F,aircrack-ng,aarch64-linux
58479315,F,allegro,x86_64-linux
58481993,F,allegro4,x86_64-linux
58500309,F,alot,x86_64-darwin
58483753,D,altcoins.bitcoin,x86_64-darwin
58476840,F,altcoins.bitcoind,x86_64-darwin
58513841,D,altcoins.dapp,x86_64-linux
58513503,F,altcoins.ethrun,x86_64-linux
58498832,F,altcoins.freicoin,x86_64-linux
58513769,F,altcoins.go-ethereum-classic,x86_64-darwin
58513582,F,altcoins.go-ethereum-classic,x86_64-linux
58513785,F,altcoins.go-ethereum,x86_64-darwin
58474838,D,altcoins.hivemind,x86_64-darwin
58471343,F,altcoins.hivemindd,x86_64-darwin
58475168,F,altcoins.hsevm,x86_64-darwin
58489558,F,altcoins.hsevm,x86_64-linux
58480065,F,altcoins.memorycoin,x86_64-linux
58473327,F,altcoins.primecoin,x86_64-linux
58530502,D,altcoins.zcash,x86_64-darwin
58530444,F,altcoins.zcash,x86_64-linux
58469665,F,ams-lv2,aarch64-linux
58499663,F,amtterm,aarch64-linux
58488255,F,amtterm,x86_64-linux
58489474,F,angelscript_2_22,aarch64-linux
58491224,D,anki,x86_64-darwin
58492984,D,ansible,aarch64-linux
58500170,D,ansible2,aarch64-linux
58484483,F,ants,aarch64-linux
58484825,F,ants,x86_64-linux
58492261,F,ao,aarch64-linux
58494572,F,apcupsd,aarch64-linux
58484399,F,apcupsd,x86_64-linux
58474612,F,apvlv,x86_64-darwin
58486609,F,arcanist,aarch64-linux
58500395,D,ardour,aarch64-linux
58475827,D,arelle,x86_64-darwin
58476251,D,armadillo,x86_64-darwin
58499289,D,arora,aarch64-linux
58475690,D,arora,x86_64-darwin
58480964,D,arpack,x86_64-darwin
58490382,F,artyFX,aarch64-linux
58493871,F,arx-libertatis,x86_64-linux
58480786,D,asciidoc-full-with-plugins,x86_64-linux
58472872,D,asciidoc-full,x86_64-linux
58480038,F,aseprite,aarch64-linux
58499831,D,aseprite,x86_64-linux
58475715,F,aspino,aarch64-linux
58486589,D,atanks,x86_64-linux
58490083,F,atlas,aarch64-linux
58482340,D,atlas,x86_64-darwin
58495672,F,atlasWithLapack,aarch64-linux
58470619,D,atlasWithLapack,x86_64-darwin
58489448,D,attica,aarch64-linux
58489964,D,attica,x86_64-darwin
58488878,D,audacity,aarch64-linux
58472996,F,audio-recorder,aarch64-linux
58480393,F,audio-recorder,x86_64-linux
58490776,D,automoc4,aarch64-linux
58471290,D,automoc4,x86_64-darwin
58487496,F,autotrace,x86_64-darwin
58478925,D,avian,x86_64-darwin
58498726,D,avidemux,aarch64-linux
58475641,D,avogadro,aarch64-linux
58496475,D,avogadro,x86_64-darwin
58479495,D,avrdudess,aarch64-linux
58496447,D,avrdudess,x86_64-linux
58490182,F,avrgcclibc,aarch64-linux
58472877,F,avrgcclibc,x86_64-linux
58478425,F,awesomebump,aarch64-linux
58487530,F,awesomebump,x86_64-linux
58493702,F,aws-sdk-cpp,x86_64-darwin
58483769,D,backblaze-b2,aarch64-linux
58468615,D,backintime-qt4,aarch64-linux
58478033,D,backintime,aarch64-linux
58485057,D,bazaar,aarch64-linux
58474776,F,bcachefs-tools,aarch64-linux
58488269,F,bear,x86_64-darwin
58486931,F,bedtools,x86_64-darwin
58486253,D,bedup,aarch64-linux
58488519,F,beignet,aarch64-linux
58470197,D,biber,x86_64-darwin
58469558,D,bibletime,aarch64-linux
58491573,D,bigloo,x86_64-darwin
58472297,D,bitcoin,x86_64-darwin
58471312,F,bitkeeper,aarch64-linux
58497458,F,bitkeeper,x86_64-linux
58495364,D,blackmagic,aarch64-linux
58471543,F,blackmagic,x86_64-darwin
58478470,D,blas,x86_64-darwin
58478132,D,blitz,x86_64-darwin
58473988,D,boogie,aarch64-linux
58473142,F,bootil,aarch64-linux
58493956,D,breeze-qt4,aarch64-linux
58499120,D,brgenml1cupswrapper,aarch64-linux
58499941,F,bsc,x86_64-darwin
58480066,F,bud,aarch64-linux
58530660,D,buildbot,x86_64-darwin
58496783,D,buku,aarch64-linux
58480121,F,bullet,x86_64-darwin
58513710,D,bup,x86_64-darwin
58486180,F,c3d,aarch64-linux
58483501,F,c3d,x86_64-darwin
58514061,D,calibre,x86_64-linux
58490357,D,caneda,aarch64-linux
58477647,D,cantata,aarch64-linux
58514058,F,cargo-edit,x86_64-darwin
58476141,F,casperjs,aarch64-linux
58490981,F,casperjs,x86_64-linux
58496976,F,catfish,x86_64-darwin
58484230,F,cde,aarch64-linux
58499753,D,cegui,aarch64-linux
58486410,F,celt_0_5_1,x86_64-darwin
58488477,D,cernlib,x86_64-darwin
58475671,D,certbot,aarch64-linux
58472678,D,cgui,x86_64-linux
58482161,F,chez,aarch64-linux
58478003,F,chromaprint,x86_64-darwin
58530568,F,chrome-gnome-shell,x86_64-linux
58490725,D,chromedriver,x86_64-darwin
58497590,F,chuck,x86_64-darwin
58513600,D,cide,x86_64-linux
58490775,F,citra,aarch64-linux
58484515,F,cjdns,x86_64-darwin
58470490,D,ckan,aarch64-linux
58492763,F,cl,aarch64-linux
58480467,D,clang-analyzer,aarch64-linux
58497478,D,clang-tools,aarch64-linux
58470978,D,clang,aarch64-linux
58476816,D,clangSelf,aarch64-linux
58497740,D,clangStdenv,aarch64-linux
58490649,D,clang_35,aarch64-linux
58480608,D,clang_4,aarch64-linux
58513840,F,clerk,x86_64-linux
58499274,D,clipgrab,aarch64-linux
58493302,D,clisp-tip,aarch64-linux
58480460,D,clisp,aarch64-linux
58492435,D,clisp_2_44_1,aarch64-linux
58496550,D,cloud-init,aarch64-linux
58487376,D,cmakeWithGui,aarch64-linux
58475569,D,cmakeWithGui,x86_64-darwin
58484184,F,cmark,x86_64-darwin
58491386,F,cmatrix,x86_64-darwin
58487304,F,coccinelle,aarch64-linux
58480981,D,colm,x86_64-darwin
58498419,F,communi,aarch64-linux
58490086,D,communi,x86_64-darwin
58483490,F,communi,x86_64-linux
58496559,D,compcert,aarch64-linux
58485998,D,compcert,x86_64-darwin
58474333,D,conan,aarch64-linux
58497890,D,confclerk,aarch64-linux
58492221,D,confclerk,x86_64-darwin
58478188,D,consul-ui,aarch64-linux
58514108,F,consul,x86_64-darwin
58513437,F,containerd,x86_64-linux
58500401,D,convchain,aarch64-linux
58496020,D,cookiecutter,aarch64-linux
58481708,D,copyq,aarch64-linux
58468997,F,coq,aarch64-linux
58475514,D,coq,x86_64-darwin
58492672,D,coq_8_3,aarch64-linux
58495706,F,coq_8_4,aarch64-linux
58474559,D,coq_8_4,x86_64-darwin
58471875,F,coq_8_5,aarch64-linux
58491458,D,coq_8_5,x86_64-darwin
58471848,F,coq_8_6,aarch64-linux
58499493,D,coq_8_6,x86_64-darwin
58471907,F,coq_HEAD,aarch64-linux
58499438,D,coq_HEAD,x86_64-darwin
58491992,D,couchdb,aarch64-linux
58498003,D,couchdb2,aarch64-linux
58513704,F,coyim,x86_64-darwin
58473967,D,cpp_ethereum,aarch64-linux
58480619,F,cre2,x86_64-darwin
58475504,D,creduce,aarch64-linux
58485302,F,crrcsim,aarch64-linux
58477121,F,cscope,x86_64-darwin
58500408,D,csdp,x86_64-darwin
58490786,D,csmith,aarch64-linux
58491886,F,csmith,x86_64-darwin
58500393,F,csmith,x86_64-linux
58495648,D,cutecom,x86_64-darwin
58499981,F,cxxtools,aarch64-linux
58483316,D,dafny,aarch64-linux
58513447,D,dapp,x86_64-linux
58492301,D,darktable,aarch64-linux
58495022,F,dbench,x86_64-darwin
58480290,D,dblatexFull,x86_64-darwin
58496930,D,dbus-sharp-1_0,aarch64-linux
58472627,D,dbus-sharp-2_0,aarch64-linux
58477965,D,dbus-sharp-glib-1_0,aarch64-linux
58498934,D,dbus-sharp-glib-2_0,aarch64-linux
58495852,D,dd-agent,aarch64-linux
58484788,F,ddccontrol,aarch64-linux
58489904,D,deluge,aarch64-linux
58513728,F,dex-oidc,x86_64-darwin
58487604,F,dibbler,x86_64-darwin
58498080,F,dico,x86_64-darwin
58494202,D,diffpdf,aarch64-linux
58477780,F,dirac,x86_64-darwin
58488603,F,direwolf,aarch64-linux
58500268,F,direwolf,x86_64-linux
58496040,D,disorderfs,x86_64-linux
58470405,F,distrho,aarch64-linux
58498715,D,djview,aarch64-linux
58487280,D,djview,x86_64-darwin
58468421,D,djview4,aarch64-linux
58483816,D,djview4,x86_64-darwin
58495086,D,dmd,aarch64-linux
58468548,F,dmd_2_067_1,aarch64-linux
58499666,D,dmenu-wayland,aarch64-linux
58484513,D,dmenu-wayland,x86_64-linux
58487580,F,dmtcp,x86_64-linux
58492395,D,dnschain,x86_64-darwin
58513619,D,docker-edge,x86_64-linux
58513806,D,docker-gc,x86_64-linux
58513913,F,docker-machine-kvm,x86_64-darwin
58514063,D,docker,x86_64-linux
58514207,D,docker_17_06,x86_64-linux
58470663,D,doomseeker,aarch64-linux
58496345,D,doomseeker,x86_64-darwin
58482164,D,dotnetPackages.Boogie,aarch64-linux
58476238,D,dotnetPackages.Dafny,aarch64-linux
58474976,D,dotnetPackages.Deedle,aarch64-linux
58475477,D,dotnetPackages.ExcelDna,aarch64-linux
58497251,D,dotnetPackages.ExcelDnaRegistration,aarch64-linux
58498865,D,dotnetPackages.ExtCore,aarch64-linux
58469981,D,dotnetPackages.FSharpAutoComplete,aarch64-linux
58482351,D,dotnetPackages.FSharpCompilerService,aarch64-linux
58479547,D,dotnetPackages.FSharpData,aarch64-linux
58513691,D,dotnetPackages.GitVersionTree,aarch64-linux
58482258,D,dotnetPackages.MathNetNumerics,aarch64-linux
58485737,D,dotnetPackages.NDeskOptions,aarch64-linux
58482962,D,dotnetPackages.NewtonsoftJson,aarch64-linux
58491217,D,dotnetPackages.Paket,aarch64-linux
58481558,D,dotnetPackages.Projekt,aarch64-linux
58493183,D,dotnetPackages.UnionArgParser,aarch64-linux
58494105,D,doxygen_gui,aarch64-linux
58484939,D,dr14_tmeter,x86_64-darwin
58470571,D,dssi,aarch64-linux
58468348,D,dub,aarch64-linux
58468104,D,dub,x86_64-darwin
58491658,D,duplicity,aarch64-linux
58485004,D,duplicity,x86_64-darwin
58530385,D,duply,aarch64-linux
58530393,D,duply,x86_64-darwin
58484372,F,dwarf-fortress-packages.dwarf-therapist-original,aarch64-linux
58472064,D,eccodes,x86_64-darwin
58487512,F,edac-utils,aarch64-linux
58475724,F,edac-utils,x86_64-linux
58486706,F,eduke32,aarch64-linux
58482530,D,eflite,x86_64-linux
58484924,F,eggdrop,x86_64-darwin
58488083,D,eiskaltdcpp,aarch64-linux
58468449,D,eiskaltdcpp,x86_64-darwin
58468685,D,electrum-ltc,aarch64-linux
58471274,D,electrum-ltc,x86_64-darwin
58469303,D,elinks,aarch64-linux
58476584,D,elmPackages.elm-make,x86_64-darwin
58497283,D,elmPackages.elm-package,x86_64-darwin
58480169,D,elmPackages.elm-reactor,x86_64-darwin
58477741,D,elmPackages.elm-repl,x86_64-darwin
58498961,D,emojione,x86_64-darwin
58470459,F,emulationstation,aarch64-linux
58476119,D,enlightenment.econnman,aarch64-linux
58497598,F,enlightenment.efl,aarch64-linux
58498146,D,enlightenment.enlightenment,aarch64-linux
58493429,D,enlightenment.ephoto,aarch64-linux
58469101,D,enlightenment.rage,aarch64-linux
58483843,D,enlightenment.terminology,aarch64-linux
58489865,F,eq10q,aarch64-linux
58497475,D,eql,aarch64-linux
58498676,D,errbot,aarch64-linux
58479739,D,errbot,x86_64-darwin
58513454,F,ethrun,x86_64-linux
58468186,D,evopedia,aarch64-linux
58471485,F,ezquake,aarch64-linux
58491664,F,eztrace,x86_64-linux
58476866,D,facedetect,x86_64-darwin
58491392,F,fakenes,aarch64-linux
58483516,D,fakenes,x86_64-linux
58484475,D,fanctl,aarch64-linux
58477692,D,fanctl,x86_64-linux
58495076,F,fast-cli,x86_64-linux
58481458,D,fastnlo,x86_64-darwin
58490919,D,fbreader,aarch64-linux
58490410,D,fbterm,aarch64-linux
58484902,D,fcitx-configtool,aarch64-linux
58495988,D,fcitx-engines.anthy,aarch64-linux
58485082,D,fcitx-engines.chewing,aarch64-linux
58477608,D,fcitx-engines.cloudpinyin,aarch64-linux
58488680,D,fcitx-engines.hangul,aarch64-linux
58483618,D,fcitx-engines.libpinyin,aarch64-linux
58484821,D,fcitx-engines.m17n,aarch64-linux
58485924,D,fcitx-engines.mozc,aarch64-linux
58487561,F,fcitx-engines.mozc,x86_64-linux
58492315,D,fcitx-engines.table-other,aarch64-linux
58470850,D,fcitx-engines.unikey,aarch64-linux
58489936,D,fcitx,aarch64-linux
58477614,D,ffadoFull,aarch64-linux
58512082,F,ffmpeg-full,x86_64-darwin
58475287,F,firebird,aarch64-linux
58491829,F,firebirdSuper,aarch64-linux
58469405,D,flamerobin,aarch64-linux
58476623,F,flann,x86_64-darwin
58495830,F,flexget,aarch64-linux
58483319,F,flexget,x86_64-linux
58479690,F,flite,x86_64-linux
58473345,F,flpsed,x86_64-darwin
58474685,D,fluentd,x86_64-darwin
58487727,D,focuswriter,aarch64-linux
58478171,D,focuswriter,x86_64-darwin
58477732,F,fontforge-fonttools,x86_64-darwin
58494822,D,fontmatrix,aarch64-linux
58471133,F,fox_1_6,x86_64-darwin
58513402,F,frab,x86_64-linux
58477432,D,framac,aarch64-linux
58479198,D,framac,x86_64-darwin
58484787,D,freecell-solver,x86_64-darwin
58475412,F,freerdp,aarch64-linux
58483289,F,freerdpUnstable,aarch64-linux
58487016,F,freerdp_legacy,aarch64-linux
58500118,F,freeswitch,x86_64-linux
58475719,F,freetalk,aarch64-linux
58482579,F,freetalk,x86_64-linux
58485160,D,frescobaldi,x86_64-linux
58498564,F,fribid,aarch64-linux
58470078,D,fricas,aarch64-linux
58498422,D,fsharp,aarch64-linux
58468139,D,fsharp41,aarch64-linux
58474348,D,fstar,aarch64-linux
58474861,F,fstrm,aarch64-linux
58476691,F,fstrm,x86_64-darwin
58490910,F,fstrm,x86_64-linux
58486227,F,fsuae,aarch64-linux
58479892,D,fwupd,aarch64-linux
58491438,D,fwupdate,aarch64-linux
58471337,D,gajim,aarch64-linux
58470368,D,gambatte,aarch64-linux
58489749,D,garden-of-coloured-lights,x86_64-linux
58472857,F,gargoyle,aarch64-linux
58484472,F,gargoyle,x86_64-linux
58498998,D,gcc-snapshot,x86_64-darwin
58494149,F,gcc-unwrapped,x86_64-darwin
58479193,D,gcc,x86_64-darwin
58469152,D,gcc45,aarch64-linux
58478935,D,gcc48,x86_64-darwin
58478366,D,gcc49,x86_64-darwin
58474518,D,gcc5,x86_64-darwin
58475110,D,gcc6,x86_64-darwin
58496989,D,gcc7,x86_64-darwin
58473144,D,gcc_debug,x86_64-darwin
58486272,D,gccgo,x86_64-darwin
58476115,D,gccgo49,x86_64-darwin
58477777,D,gcj,x86_64-darwin
58469351,D,gcj49,x86_64-darwin
58469563,D,gcl,aarch64-linux
58513659,F,gcsfuse,x86_64-linux
58530507,D,gdal,x86_64-darwin
58477367,D,gdata-sharp,aarch64-linux
58487890,F,gdbGuile,aarch64-linux
58487726,F,gdbGuile,x86_64-linux
58470837,F,gdmap,x86_64-darwin
58497989,D,gede,aarch64-linux
58485671,D,gede,x86_64-darwin
58481203,D,gen-oath-safe,aarch64-linux
58476417,D,gen-oath-safe,x86_64-darwin
58468389,F,gengetopt,aarch64-linux
58473129,F,gengetopt,x86_64-linux
58493852,F,genimage,x86_64-darwin
58490293,D,gfortran,x86_64-darwin
58495853,D,gfortran48,x86_64-darwin
58482742,D,gfortran49,x86_64-darwin
58477847,D,gfortran5,x86_64-darwin
58478353,D,gfortran6,x86_64-darwin
58493797,D,gfortran7,x86_64-darwin
58490851,F,ghdl_llvm,x86_64-linux
58499653,D,gio-sharp,aarch64-linux
58514037,D,git-cola,aarch64-linux
58475372,D,git-ftp,x86_64-darwin
58498100,F,git-review,aarch64-linux
58483884,F,git-review,x86_64-darwin
58469786,F,git-review,x86_64-linux
58513591,D,gitAndTools.git-annex-remote-rclone,x86_64-linux
58514113,D,gitAndTools.git-cola,aarch64-linux
58499532,D,gitAndTools.qgit,x86_64-darwin
58480613,D,gitfs,aarch64-linux
58513966,F,gitlab,x86_64-linux
58487644,D,gjay,aarch64-linux
58474027,F,gkrellm,aarch64-linux
58469924,F,gkrellm,x86_64-darwin
58479458,F,gkrellm,x86_64-linux
58479410,F,globalplatform,x86_64-darwin
58469102,F,glslviewer,x86_64-darwin
58474967,F,glucose,aarch64-linux
58494916,D,glusterfs,aarch64-linux
58500312,F,gmp4,aarch64-linux
58500192,F,gmp5,x86_64-darwin
58491795,D,gmsh,aarch64-linux
58500235,D,gmsh,x86_64-darwin
58492245,F,gmvault,aarch64-linux
58489518,F,gmvault,x86_64-darwin
58471328,F,gmvault,x86_64-linux
58469490,D,gnome-sharp,aarch64-linux
58497633,D,gnome3.accerciser,aarch64-linux
58490523,D,gnome3.anjuta,aarch64-linux
58486488,D,gnome3.gjs,aarch64-linux
58494017,D,gnome3.gnome-characters,aarch64-linux
