name,x86_64-linux,aarch64-linux,x86_64-darwin,aarch64-darwin
actual-server,,,331666287,331666289
air-formatter,331701980,331701979,331701982,331701981
alan_2,329253293,329253291,,
alttab,,,331667032,331667033
angelscript,,,329253843,
anilibria-winmaclinux,,,331740086,331740085
ansible-language-server,,,,331701985
apacheHttpdPackages.mod_tile,331702059,331702041,,
apacheHttpdPackages.subversion,,,331702133,
apacheHttpdPackages_2_4.mod_tile,331702129,331702110,,
apacheHttpdPackages_2_4.subversion,,,331702134,
appstream,,,329254634,329254632
archivemount,,,330702939,330702938
ardour,,,331741294,
arftracksat,,,331667059,331667060
ariang,329254943,329254916,329254954,329254942
astro-language-server,,,331666306,
ath9k-htc-blobless-firmware-unstable,329255863,329255864,,
ath9k-htc-blobless-firmware,329255861,329255860,,
attic-server,,,331714928,331714926
atuin-desktop,,,331753794,
aviator,,,329256329,
azure-cli-extensions.acrcssc,329256661,329256658,329256660,329256659
azure-cli-extensions.aksarc,329256690,329256686,329256688,329256687
azure-cli-extensions.alias,329256701,329256699,329256700,329256698
azure-cli-extensions.aosm,329256713,329256711,329256712,329256710
azure-cli-extensions.arcappliance,329256732,329256730,329256731,329257013
azure-cli-extensions.arcdata,329256737,329256736,329256735,329256734
azure-cli-extensions.attestation,329256757,329256755,329256756,329256753
azure-cli-extensions.cloud-service,331509419,331509420,331509422,331509418
azure-cli-extensions.connectedk8s,331509425,331509413,331509428,331509435
azure-cli-extensions.containerapp,329256850,329256848,329256849,329256847
azure-cli-extensions.interactive,329257057,329257055,329257056,329257054
azure-cli-extensions.k8s-configuration,329257069,329257067,329257072,329257068
azure-cli-extensions.k8s-extension,329257132,329257076,329257070,329257073
azure-cli-extensions.serial-console,329257278,329257277,329257273,329257276
azure-cli-extensions.stack-hci-vm,329745488,329745487,329745491,329745504
azure-cli-extensions.webpubsub,329257391,329257394,329257395,329257392
azure-sdk-for-cpp.security-attestation,329257467,329257465,,
bacula,,,329257608,
barman,,,331509434,331509432
beadwork,,332388165,332388166,
bicep,,,,331626397
biglybt,,,,329259109
bitwarden-cli,,,331666314,
bootil,,,329259954,329259955
boulder,,,329260049,329260046
brlcad,330754656,,,
c3c,,,331503486,
calls,,331653108,,
candle,,,329261242,329261240
capa,,,,331669591
cardpeek,,,329261378,329261375
cargo-deb,,,329261533,329261531
cargo-risczero,,,329261774,329261771
cargo-ui,,,330726672,330726688
casacore,,,331915422,331915419
cassandra-cpp-driver,,,329261984,
cbconvert-gui,329262197,329262199,,
cbconvert,329262196,329262192,,
cbmbasic,,,329262214,329262213
cc-switch,,,331666342,
cdecl,,,329262364,329262361
cdparanoia-iii,,,329262443,329262439
cdparanoia,,,329262442,329262414
cdxgen,,,331626421,
cegui,,,329262462,329262460
cernlib,,,329262533,
cfv,,,329262675,329262673
cherry-studio,,,331753844,
chickenPackages_5.chickenEggs.fusion-arrays,,,330751628,330751629
chopchop,,,329265502,
cinny-desktop,,,331753854,
clfft,,,329265929,329265941
cliamp,,,331753862,331753861
cockpit-zfs,329266644,329266643,,
cocom-tool-set,,,329266663,329266661
code-server,,,331666358,
colmap,,,,331648651
compactor,330671914,330671913,,
conan,,,331703937,
conserve,,,329267301,
contour,,,331741305,331741304
coqPackages.dpdgraph,,,331669747,
coredns,,,329268009,329268003
cp2k,331702177,,,
cp437,,,329268265,329268261
credsweeper,,331453581,,
crystalline,,,,331653206
cuneiform,329269062,329269057,,
cups-dymo,,,329269090,329269087
dart_frog_cli,331538261,331538262,,
dasher,,,329269685,329269689
dasm,,,329269696,
datalad,,,331702184,
db-rest,,,329269807,329269805
deadlock-mod-manager,331753879,,,
deadpixi-sam-unstable,,,329270078,329270074
decker,,,329270130,329270123
delly,,,331670052,331670055
deltachat-tauri,331753882,,331753881,
deluged,,,329270264,329270278
deskew,,,,329270358
devcontainer,,,331626508,
devpod-desktop,,,331753891,
diamond,,,329270665,329270663
dico,,,330908257,330908252
direvent,,,329270922,329270917
direwolf-unstable,,,330774431,330774427
direwolf,,,329270926,329270927
djgpp,,,330680075,
djgpp_i586,,,330680077,
djgpp_i686,,,330680081,
dl-librescore,,,,331666381
dleyna,,,,331653227
dmd,329271219,,,
dnadd,,,329271272,329271269
dnslink-std-go,,,329271345,329271341
dockapps.wmsm-app,,,329271523,329271519
docker-machine-hyperkit,,,329271571,
documenso,331626518,331626539,331626519,331626520
dolphin-emu,,,331715002,
dovecot_pigeonhole,,,330754838,330754827
dovecot_pigeonhole_2_4,,,330754837,330754834
driftnet,,,331656727,331656726
dt,,,329272848,329272872
dutctl,,,331499591,
dvdisaster,331583528,331583526,,
ecl_16_1_2,329273438,329273434,329273433,
eggnog-mapper,,,329273766,329273753
egoboo,,,330685180,330685181
ela-widget-tools,,,329273850,329273847
elmPackages.elm-wrap,,,331703971,331703969
emmy-lua-code-style,,,329536638,329536635
en-croissant,,,331753905,
enca,,330624615,,
engage,,,329274461,
epgstation,,,329274645,329274636
equalx,,,329274718,329274721
erigon,,,329274750,
ete-unwrapped,,330916251,,330916250
evcc,,,331626975,
eventstore,,,331626972,
exatorrent,,,329275083,329275080
excalidraw_export,329275089,329275087,329275090,329275086
exfat,,,330682813,330682811
factoriolab,,,331578342,331578343
far2l,,,331656729,
fb303,331740178,,,
fbv,,,329275801,329275798
fcron,,,329275905,329275907
fedimint,329275958,329275956,,
fedistar,,,331753909,
filen-desktop,,,331535529,331535526
firefox-esr-140-unwrapped,,,331624577,
firefox-esr-unwrapped,,,331624582,
firefox-unwrapped,,,331670087,
fittrackee,331703982,331703983,,
fleng,,,,329277034
flex-launcher,,,329277051,329277048
flightcore,331753918,,331753920,331753917
flow-control,,,329277148,329277139
fluent-bit,,,,331659713
fluux-messenger,,331753922,,
fmi-reference-fmus,,,329277375,
fmt_10,,,329277385,329277383
fmt_9,,,329277398,329277396
ford,,,329277663,329277793
fortitude,,,329277740,329277737
freepv,,,329277983,329277982
g15daemon,,,329278474,329278477
gama,,,331740205,
garble,,330777909,,
gccNGPackages_15.gcc-unwrapped,,,331624597,331624624
gccNGPackages_15.libquadmath,329279032,,,
gdcm,,,,331741346
geant4,,,,331667187
getxbook,,,329279598,329279597
ghidra-extensions.gnudisassembler,,,,331741398
ghostfolio,,,331702229,331702226
gimme-aws-creds,329280078,329280076,329280080,329280077
git-chain,,,329280273,329280271
git-gamble,,,330676614,
git-together,,,329280651,329280650
gitbeaker-cli,,329280757,329280765,
gitlab-elasticsearch-indexer,,,330646042,330646047
gl-gsync-demo,331670116,331670115,,
glances,,331683221,,
gnat16Packages.gpr2,330621700,330621765,,
gnome2.gtksourceview,,,329281957,329281946
gnucobol,,,330336391,330336392
gnudatalanguage,,331040625,,
gopher64,,331753964,331753961,
gophernotes,329285561,329285558,329285559,329285560
gophish,,,329285571,
gossip,,,331414238,331414236
